title,degreePlanning,academicAdvising,careerServices,workAndVolunteering,healthAndCounselling,academicToolsAndHelp,library,research,peerToPeer,financialAid,ITServices,applications,studentNetworks,departments,accessMethod,availability,recommended,description,shortDescription,yearMinimum,yearMaximim,source,contact,testimonials
Departmental Undergraduate Advisors,TRUE,TRUE,,,,,,,,,,,,ALL,Online,,,Start here to find every departmental undergraduate advisor.,Find every departmental acedemic advisor here,0,8,https://www.sfu.ca/students/academicadvising/contact/departmental-advisors.html,,
Advising  AppliedScience,TRUE,TRUE,,,,,,,,,,,,CS ENSC,"In Person, Drop in

Burnaby Campus: Applied Science Building (ASB) 9941

Surrey Campus (SRYE) Room 1003",,,Drop-in advising is available for students in the Burnaby-based Applied Sciences programs every day. Extended hours are available during enrollment periods and beginning of semester.,Acedemic Advising for Applied Science students. Drop in or book an appointment.,0,8,https://www.sfu.ca/fas/current-student/advising.html,"Email: asadvise@sfu.ca
Phone: 778-782-9256
Burnaby Campus: Applied Science Building (ASB) 9941
Surrey Campus (SRYE) Room 1003",
Advising  Health Science Login,TRUE,TRUE,,,,,,,,,,,,HS,"Online, In Person Burnaby Campus: Blusson Hall, Room 11300",,TRUE,"The Academic advisor is a must for all Health Sciences Students. Simply book your appointments online!

Advisors are available to advise students on a range of topics, including checking you’re on track to graduate and helping you navigate academic difficulties.

All advising is held in Blusson Hall 10706 (SFU Burnaby campus). If there are no appointments available, drop-in advising is great for quick questions.

",Acedemic Advising for Health Science students. Drop in or book an appointment.,0,8,http://www.sfu.ca/fhs/undergraduate/current/advising.html,"Email: fhs_advising@sfu.ca 
Burnaby Campus: Blusson Hall, Room 11300


Steve O'Reilly (Undergraduate Advisor)
Phone: 778-782-9668",Academic Advising has helped me  figure out what I still need to take and what I have fulfilled so I do not waste credits and money.
Advising Business : Career Managemnt Centre,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,BUS,"Drop In:

Burnaby Campus
(WMC 2330)        Monday to Friday, 11 a.m. to 2 p.m.


Surrey Campus
(SUR 5000)        Monday to Thursday, 10 to 11 a.m. and 1 to 3 p.m.",,TRUE,"Gives students information on who to contact on different advising needs such as Academic Advising, Career Management Centre, Student Engagement Office, Office of International Programs, Co-operative Education ",Acedemic Advising for Business students. Drop in or book an appointment.,0,8,https://beedie.sfu.ca/resources/undergraduates/connect-with-an-advisor,,"1. The Career Managment Centre advised me to find work and volunteer positions that relates to my field.

2. Career management. Because of the career management department and their advisers, I am now able to graduate with the job I want. From cover letters and resumes to interview prep and salary negotiation, they helped me throughout the whole process and helped me land a job.

3. The amount of information that you get from advisers are more beneficial than anything you can find online."
Academic Enhancement Program,,,,,,TRUE,,,,,,,,CS,In Person,,TRUE,Collaborative program between the School of Computing Science and the Student Learning Commons at Simon Fraser University.,Collaborative program between the School of Computing Science and the Student Learning Commons at Simon Fraser University.,1,1,https://www.sfu.ca/computing/current-students/undergraduate-students/student-resources/academic-enhancement-program.html,"Diana Cukierman
diana@sfu.ca
1-778-782-7110",Study Abroad advisors within Beedie. They are friendly and patient and make the application process much less intimidating.
Databases,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,ALL,online,,,"SFU offers access to a whole range of databases that will 
help with doing research for papers, essays or just to feed your 
curiousity. Databases exists on many topics, so start here
 and find the right database for you.",,,,https://databases.lib.sfu.ca/,,
Research Guides per Discipline,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,ALL,Online,,,"Start here to find research guides by subject, course, or discipline name. These allow you to research your topic in the most efficient way and improve the quality of your work.",This link provides a search link for all research papers that a teacher would ask you to read.,0,4,https://www.lib.sfu.ca/help/research-assistance/subject,,
Library Catalogue,,,,,,TRUE,TRUE,TRUE,TRUE,,,,,ALL,Online,,,"The library cataglogue gives you immediate access to all  files and databases available to SFU, start here next time you are researchng a topic. Teachers often give research assignments to paid articles, use this link to find the articles for free.",,0,8,https://sfu-primo.hosted.exlibrisgroup.com/primo-explore/browse?vid=SFUL,"Includes all the research papers teachers would want you to read, for free.",
Study rooms,,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,ALL,,,TRUE,SFU offers multiple study rooms at all campuses. This is optimal for working on group projects.,Book your study rooms online.,,,https://www.lib.sfu.ca/facilities/rooms-spaces/group-study-rooms,,
AskAway,,,,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,,ALL,Online,,TRUE,"Real time research help. Have a live chat with research experts to help you find what you need. AskAway provides convenient and expert chat reference help to post-secondary students, faculty, and researchers across BC and the Yukon. Connect with friendly and professional AskAway service providers, who respond to questions ranging from circulation to in-depth research to citations.",Real time research help provided by the library.,0,4,"https://askaway.org/

https://www.lib.sfu.ca/help/askaway-welcome",,I was so happy when I discovered this service because it helped me when writing research paper. Through a chat service you get to speak with a qualified librarian and ask for their guidance researching a topic. They are great at getting you started on the right path. A must use resource for any student writing reserach papers.
